,MDEC-23,LipoaffinityIndex,C1SP2,maxHsOH,minsssN,maxssO,minHsOH,minsOH,nHBAcc,MLFER_A,nC,SHsOH,ATSc3,VC-5,minHBint5,MLogP,TopoPSA,MDEO-12,minssO,SHBint10
0,0.925967155,0.655177661,0.0,0.682117348,0.0,0.984673227,0.913023104,0.968254819,0.081081081,0.223040857,0.340425532,0.806846289,0.865077206,0.25923689,0.0,0.44,0.156030571,0.860012618,0.879642166,0.27225993
1,0.789597581,0.563572919,0.052631579,0.928485736,0.0,0.940064819,0.965120947,0.872779585,0.054054054,0.230576021,0.14893617,0.977168119,0.591829992,0.122766791,0.0,0.28,0.064351397,0.139683861,0.990258111,0.0
2,0.817876465,0.568984989,0.052631579,0.922590883,0.0,0.949862377,0.954657581,0.875993191,0.054054054,0.230576021,0.170212766,0.968967809,0.583262361,0.122766791,0.0,0.28,0.080275348,0.250577586,0.886625773,0.0
3,0.817876465,0.586158744,0.052631579,0.93186926,0.0,0.915113705,0.97126091,0.871965766,0.054054054,0.230576021,0.14893617,0.981934993,0.560098478,0.122766791,0.0,0.24,0.064351397,0.139683861,0.963974771,0.0
4,0.817876465,0.611999177,0.052631579,0.921294005,0.0,0.0,0.946195714,0.873923724,0.054054054,0.230576021,0.14893617,0.964406837,0.613830491,0.168775312,0.0,0.24,0.09207598,0.0,0.0,0.0
5,0.817876465,0.655273698,0.0,0.707876035,0.0,0.919468175,0.963401758,0.957900797,0.027027027,0.132116544,0.170212766,0.422381679,0.424188764,0.122766791,0.0,0.32,0.029449821,0.098198628,0.968561741,0.0
6,0.907263152,0.881413823,0.0,0.692241299,0.0,0.928893702,0.942557171,0.964555643,0.0,0.132116544,0.255319149,0.413052608,0.526110568,0.122766791,0.0,0.52,0.0,0.057574049,0.97849053,0.0
7,0.956431299,0.814270321,0.0,0.691623853,0.0,0.92605826,0.941733977,0.965094035,0.027027027,0.132116544,0.276595745,0.412684185,0.460662908,0.149329823,0.0,0.52,0.029449821,0.098198628,0.975503694,0.0
8,0.840946871,0.667953863,0.052631579,0.964573317,0.0,0.919748246,0.959750845,0.857366003,0.054054054,0.230576021,0.191489362,0.996297764,0.560099118,0.122766791,0.0,0.32,0.064351397,0.124962332,0.968856767,0.0
9,0.845813354,0.780204546,0.052631579,0.691282581,0.714786362,0.925577894,0.941278986,0.964113212,0.054054054,0.132116544,0.234042553,0.412480552,0.755349548,0.158404838,0.0,0.4,0.035039594,0.098198628,0.97499768,0.0
10,0.867267041,0.747642612,0.052631579,0.691282581,0.759781844,0.926377695,0.941278986,0.964455303,0.054054054,0.132116544,0.234042553,0.412480552,0.765539396,0.158404838,0.0,0.4,0.035039594,0.098198628,0.975840185,0.0
11,0.842593299,0.857083766,0.052631579,0.685026336,0.914733994,0.927500365,0.932938017,0.966620936,0.081081081,0.167782987,0.276595745,0.408747521,0.561619705,0.122766791,0.0,0.44,0.055794214,0.098198628,0.977022797,0.0
12,0.867267041,0.721415614,0.052631579,0.689235757,0.747126865,0.92707441,0.938550114,0.96552328,0.081081081,0.133958473,0.234042553,0.411259235,0.567759939,0.158404838,0.971357975,0.36,0.055794214,0.098198628,0.9765741,0.0
13,0.867267041,0.792645669,0.052631579,0.685561681,0.759781844,0.928341289,0.933651751,0.966771295,0.081081081,0.132116544,0.255319149,0.409066955,0.598305104,0.158404838,0.0,0.4,0.040629367,0.098198628,0.977908621,0.0
14,0.953888724,0.996952389,0.052631579,0.672572415,0.771630654,0.932983975,0.916334164,0.972154381,0.081081081,0.132116544,0.382978723,0.401316406,0.608966699,0.158404838,0.0,0.64,0.040629367,0.098198628,0.982799196,0.0
15,1.0,1.0,0.052631579,0.672432508,0.767290465,0.933008133,0.916147638,0.972266021,0.081081081,0.132116544,0.382978723,0.401232925,0.556299317,0.208804648,0.0,0.64,0.040629367,0.098198628,0.982824644,0.0
16,0.922352408,0.815196319,0.052631579,0.69115754,0.0,0.926032497,0.941112279,0.965627841,0.054054054,0.116878768,0.276595745,0.412405941,0.610774326,0.122766791,0.0,0.48,0.050204441,0.098198628,0.975476555,0.0
17,0.775794803,0.502481082,0.052631579,0.957198702,0.0,0.912994529,0.977855011,0.868189705,0.054054054,0.215673141,0.127659574,1.0,0.0,0.122766791,0.0,0.16,0.080275348,0.408522756,0.863079564,0.0
18,0.756099093,0.536437405,0.052631579,0.725220637,0.0,0.911432198,0.986525978,0.951471862,0.027027027,0.132116544,0.106382979,0.432731009,0.491523923,0.122766791,0.0,0.2,0.029449821,0.108562668,0.960096696,0.0
19,0.708232732,0.651499494,0.052631579,0.928485736,0.0,0.0,0.9519091,0.870474425,0.054054054,0.230576021,0.14893617,0.971255109,0.669860984,0.103537178,0.0,0.32,0.048427445,0.0,0.0,0.0
20,0.801352023,0.562647642,0.052631579,0.921375106,0.0,0.918821152,0.962124662,0.863805903,0.054054054,0.230576021,0.170212766,0.971584287,0.558936373,0.122766791,1.0,0.24,0.080275348,0.325899065,0.93329079,0.0
21,0.775794803,0.484773577,0.052631579,0.947920325,0.0,0.947743201,0.961251682,0.87221713,0.054054054,0.215673141,0.14893617,0.987032816,0.023163863,0.122766791,0.0,0.2,0.0961993,0.502116893,0.870940911,0.0
22,0.280407066,0.587142966,0.052631579,0.625455872,0.0,0.0,0.853517311,0.970937209,0.0,0.132116544,0.0,0.373202494,0.640851127,0.452477866,0.0,0.08,0.032796784,0.0,0.0,0.0
23,0.317276829,0.630588103,0.052631579,0.612192455,0.0,0.0,0.83583422,0.975298622,0.0,0.132116544,0.021276596,0.365288362,0.649866667,0.452477866,0.0,0.12,0.032796784,0.0,0.0,0.0
24,0.367654609,0.573844067,0.052631579,0.614622084,0.0,0.801233659,0.839073457,0.97942259,0.081081081,0.194239786,0.063829787,0.366738094,0.639813897,0.297976779,0.0,0.12,0.056691338,0.20598318,0.844014279,0.126634193
25,0.367654609,0.64247186,0.052631579,0.598247495,0.0,0.815538094,0.817242481,0.985077145,0.081081081,0.132116544,0.085106383,0.356967561,0.620444344,0.371116749,0.0,0.16,0.037955247,0.20598318,0.859082476,0.125576875
26,0.627738935,0.949843681,0.052631579,0.564424247,0.0,0.94931292,0.772148553,1.0,0.027027027,0.194239786,0.234042553,0.336785609,0.656235581,0.33805901,0.0,0.48,0.027241516,0.041872036,1.0,0.0
27,0.64195478,0.772708298,0.157894737,0.73532699,0.988139723,0.992810286,1.0,0.955207081,0.081081081,0.132116544,0.212765957,0.438761356,0.94146154,0.086467085,0.0,0.28,0.065990373,0.0903296,0.980079187,0.0
28,0.608846696,0.744305324,0.157894737,0.73448785,0.846903904,0.911067988,0.998881239,0.953657733,0.108108108,0.132116544,0.170212766,0.43826065,0.897296074,0.089935286,0.496465768,0.2,0.070821041,0.035430184,0.959713039,0.0
29,0.64195478,0.860148753,0.157894737,0.0,0.991642831,1.0,0.019645233,0.0,0.081081081,0.04119223,0.234042553,0.0,0.976580254,0.086467085,0.0,0.32,0.04701275,0.0,0.874916138,0.0
30,0.414336719,0.657906536,0.157894737,0.0,0.989589835,0.939558325,0.019645233,0.0,0.081081081,0.04119223,0.106382979,0.0,0.952186234,0.0,0.0,0.08,0.04701275,0.0,0.862209144,0.0
31,0.40385599,0.684409128,0.157894737,0.0,0.944594353,0.93826278,0.019645233,0.0,0.081081081,0.04119223,0.106382979,0.0,0.943184989,0.0,0.0,0.08,0.04701275,0.0,0.861751718,0.0
32,0.393970664,0.600187267,0.157894737,0.0,0.843354518,0.932808537,0.019645233,0.0,0.081081081,0.04119223,0.063829787,0.0,1.0,0.0,0.0,0.0,0.04701275,0.0,0.859869775,0.0
33,0.40385599,0.709992464,0.157894737,0.0,0.949593851,0.918859471,0.019645233,0.0,0.108108108,0.04119223,0.106382979,0.0,0.858089047,0.0,0.562446722,0.08,0.051843417,0.0,0.863790371,0.0
34,0.45545748,0.601565493,0.210526316,0.0,0.885850252,0.818982066,0.019645233,0.0,0.162162162,0.0,0.106382979,0.0,0.87890125,0.0,0.287326481,0.04,0.086123907,0.03070616,0.862710334,0.0
35,0.0,0.923203703,0.052631579,0.559035731,0.0,0.906325487,0.0,0.996158824,0.324324324,0.423811119,0.723404255,0.395938697,0.490184827,1.0,0.152963128,1.0,0.305850284,0.986787777,0.898037066,0.345251726
36,0.0,0.822800832,0.052631579,0.562532222,0.0,0.905009603,0.022184833,0.996141169,0.324324324,0.423811119,0.70212766,0.410503299,0.500675904,1.0,0.179339037,0.96,0.305850284,1.0,0.897273906,0.349868612
37,0.616414315,0.67060998,0.052631579,0.612115676,0.0,0.859086845,0.108208159,0.979330195,0.081081081,0.189886135,0.29787234,0.40487921,0.864030278,0.959621915,0.069907444,0.56,0.064351397,0.272765998,0.904956444,0.093926483
38,0.0,0.173753697,1.0,0.698035843,0.0,0.0,0.888343273,0.942216027,0.972972973,0.843268587,1.0,0.805299128,0.323656944,0.450799253,0.200179514,0.6,0.967548264,0.0,0.0,1.0
39,0.0,0.047174644,0.842105263,0.683889633,0.0,0.0,0.873285,0.946643046,1.0,0.968519759,0.978723404,0.790118859,0.487610672,0.450799253,0.164680486,0.52,1.0,0.0,0.0,0.939241223
40,0.0,0.07900932,0.842105263,0.680882057,0.0,0.0,0.869942261,0.947424645,1.0,0.968519759,1.0,0.786828216,0.487540452,0.450799253,0.162511967,0.56,1.0,0.0,0.0,0.933548055
41,0.0,0.077542183,0.842105263,0.678708611,0.0,0.0,0.867827255,0.947920606,1.0,0.968519759,1.0,0.784584768,0.487540452,0.450799253,0.159778772,0.56,1.0,0.0,0.0,0.931046615
42,0.0,0.0,0.894736842,0.689948081,0.0,0.0,0.880010365,0.944770252,0.972972973,1.0,0.957446809,0.796743828,0.318990834,0.450799253,0.198328131,0.52,0.967548264,0.0,0.0,0.995329847
43,0.0,0.057755305,0.842105263,0.702506477,0.0,0.0,0.892885044,0.941014974,1.0,0.811788346,0.936170213,0.809999391,0.442717268,0.366255961,0.172489115,0.44,1.0,0.0,0.0,0.958655668
44,0.0,0.07900932,0.842105263,0.680882057,0.0,0.0,0.869942261,0.947424645,1.0,0.968519759,1.0,0.786828216,0.487540452,0.450799253,0.162511967,0.56,1.0,0.0,0.0,0.933548055
45,0.729129105,0.700696978,0.052631579,0.94749087,0.839252857,0.915734416,0.922873293,0.878149901,0.054054054,0.132116544,0.191489362,0.969600177,0.325184277,0.126541439,0.0,0.28,0.090695789,0.119141524,0.964628624,0.047515553
46,0.800049756,0.858183137,0.052631579,0.9762845,0.847107226,0.923639491,0.888364379,0.852403769,0.054054054,0.132116544,0.276595745,0.971336422,0.308601617,0.103537178,0.0,0.44,0.090695789,0.09898781,0.972955778,0.046094671
47,0.777261958,0.769875761,0.052631579,0.966464693,0.843754722,0.920283106,0.903224511,0.86078983,0.054054054,0.132116544,0.234042553,0.97212776,0.317684813,0.103537178,0.0,0.36,0.090695789,0.107902519,0.969420184,0.04671279
